HMS,StructuredFormula,Temperature,Pressure,crystal_system
P 4/m m m,Nd1Ba1Mn1Fe1O5.45,293,0.101325,tetragonal
P 4/m m m,Nd1Ba1Mn1Fe1O5.17,293,0.101325,tetragonal
P 4/m m m,Nd1Ba1Mn1Fe1O5.09,293,0.101325,tetragonal
I 4/m m m,Sr2Mn2.275Cr0.725As2O2,300,0.101325,tetragonal
P 42 m c,Ca1Mn1Ti1.8V0.2O6,293,0.101325,tetragonal
P 42 m c,Ca1Mn1Ti1.6V0.4O6,293,0.101325,tetragonal
P 42 m c,Ca1Mn1Ti1.4V0.6O6,293,0.101325,tetragonal
P 42 m c,Ca1Mn1Ti1.2V0.8O6,293,0.101325,tetragonal
P 42 m c,Ca1Mn1Ti1V1O6,293,0.101325,tetragonal
P 42 m c,Ca1Mn1Ti0.8V1.2O6,293,0.101325,tetragonal
P 4/m,La4Ba1Cu4Mn1O13.5,293,0.101325,tetragonal
P 4/m,La4Ba1Cu3Mn2O13.86,293,0.101325,tetragonal
I 4/m m m,K2Mn1Cl4H4O2,293,0.101325,tetragonal
P 42/n m c Z,Y2Cu1Ga1Mn4O12,297,0.101325,tetragonal
I 4/m m m,Eu3Ba2Mn2Cu2O12.091,298,0.101325,tetragonal
I 4/m m m,Eu3Ba2Mn2Cu2O12.122,298,0.101325,tetragonal
I 4/m m m,Sm3Ba2Mn2Cu2O12.15,298,0.101325,tetragonal
I 4/m m m,La2Sr2Zn1Mn1O8,293,0.101325,tetragonal
I 4/m m m,La2Sr2Mg1Mn1O8,293,0.101325,tetragonal
P 42/m b c,Pb1Bi1Fe0.85Mn0.15O4,300,0.101325,tetragonal
P 42/n m c Z,Sm2Mn4Zn1Ti1O12,293,0.101325,tetragonal
P 42/n m c Z,Sm2Mn2Zn1Ti3O12,293,0.101325,tetragonal
P 4 2 2,Sr1La1Mg0.5Mn0.5O4,293,0.101325,tetragonal
P 4 2 2,Sr1La1Zn0.5Mn0.5O4,293,0.101325,tetragonal
I 4/m m m,Eu3Ba2Mn2Cu2O12,293,0.101325,tetragonal
I 4/m m m,Dy0.434Sr1.434Mn0.76Ni0.19O4,293,0.101325,tetragonal
I 4/m m m,Dy0.45Sr1.434Mn0.379Ni0.568O4,293,0.101325,tetragonal
I 4/m m m,Dy0.486Sr1.434Mn0.19Ni0.759O4,293,0.101325,tetragonal
I 4/m m m,Ba2Mn1O2Zn2As2,295,0.101325,tetragonal
I 4/m m m,Sr2La1Mn1Fe1O6.88,293,0.101325,tetragonal
I 4/m m m,Sr2La1Mn1.5Fe0.5O6.91,293,0.101325,tetragonal
I 4/m m m,Sr4Cu2Mn3O7.5Se2,293,0.101325,tetragonal
I 4/m m m,Sr2Mn0.996Zn1.88As2O2,293,0.101325,tetragonal
I 4/m m m,La3Sr1Li1Mn1O8,293,0.101325,tetragonal
I 41/a m d Z,Mn2.049Co0.19Ni0.671Cu0.09O4,293,0.101325,tetragonal
P 4/n m m Z,La1Sr1Mn1O4F1,293,0.101325,tetragonal
P 4/n m m Z,La1.2Sr1.8Mn2O7F1,293,0.101325,tetragonal
I 41/a m d Z,Mn2.974Zn0.021Mg0.002Al0.005O4,293,0.101325,tetragonal
I 41/a m d Z,Mn2.98Zn0.018Mg0.001Al0.003O4,293,0.101325,tetragonal
I 4/m m m,La1.2Sr1.44Ca0.36Mn2O7,293,0.101325,tetragonal
P 4/m m m,Mn0.97Cl0.92La1Nb2O7,293,0.101325,tetragonal
I 4/m m m,Sr1.2Nd0.8Mn0.6Rh0.4O4,293,0.101325,tetragonal
I 41/a m d Z,Cu0.1Ni0.61Co0.2Mn2.09O4,293,0.101325,tetragonal
P 4/m m m,Sr2Mn1Ga1O4.78F1.22,293,0.101325,tetragonal
I 41/a c d Z,Ca1Mn11.62Fe2.38Si1O24,293,0.101325,tetragonal
I 4/m m m,Sr2La1Co1Mn1O7,293,0.101325,tetragonal
I 4/m m m,Sr2La1Fe1Mn1O7,293,0.101325,tetragonal
I 4/m m m,La1Sr3Mn1.5Fe1.5O9.71,293,0.101325,tetragonal
P 4/n m m Z,Pr1Mn1As1O0.95F0.05,300,0.101325,tetragonal
I 4/m c m,Pr0.5Sr0.45Ba0.05Mn1O3,293,0.101325,tetragonal
I 4/m c m,Pr0.5Sr0.3Ba0.2Mn1O3,293,0.101325,tetragonal
I 4/m c m,Pr0.5Sr0.2Ba0.3Mn1O3,293,0.101325,tetragonal
I 4/m c m,Pr0.5Sr0.1Ba0.4Mn1O3,293,0.101325,tetragonal
I 4/m m m,Sr2Cr1.854Mn1.146As2O2,300,0.101325,tetragonal
I 4/m m m,Sr1.18La0.6Ce0.2Mn1O3.96,293,0.101325,tetragonal
I 4/m m m,Sr1.1La0.64Ce0.26Mn1O3.88,293,0.101325,tetragonal
P 42/n Z,Ca1Mn0.786Co1.214W1O6,293,0.101325,tetragonal
P 42/n m c Z,Dy2Mn4Zn1Ti1O12,295,0.101325,tetragonal
P 42/n m c Z,Dy2Mn3Zn1Ti2O12,295,0.101325,tetragonal
P 4/n m m Z,La1.2Sr1.8Mn2O7F1,293,0.101325,tetragonal
