HMS,StructuredFormula,Temperature,Pressure,crystal_system,formula,all_valence_s_sum,all_valence_s_avg,all_valence_s_dev,all_valence_s_min,all_valence_s_max,all_valence_s_range,all_valence_s_mode,all_unfilled_valence_s_sum,all_unfilled_valence_s_avg,all_unfilled_valence_s_dev,all_unfilled_valence_s_min,all_unfilled_valence_s_max,all_unfilled_valence_s_range,all_unfilled_valence_s_mode,all_valence_p_sum,all_valence_p_avg,all_valence_p_dev,all_valence_p_min,all_valence_p_max,all_valence_p_range,all_valence_p_mode,all_unfilled_valence_p_sum,all_unfilled_valence_p_avg,all_unfilled_valence_p_dev,all_unfilled_valence_p_min,all_unfilled_valence_p_max,all_unfilled_valence_p_range,all_unfilled_valence_p_mode,all_valence_d_sum,all_valence_d_avg,all_valence_d_dev,all_valence_d_min,all_valence_d_max,all_valence_d_range,all_valence_d_mode,all_unfilled_valence_d_sum,all_unfilled_valence_d_avg,all_unfilled_valence_d_dev,all_unfilled_valence_d_min,all_unfilled_valence_d_max,all_unfilled_valence_d_range,all_unfilled_valence_d_mode,all_valence_f_sum,all_valence_f_avg,all_valence_f_dev,all_valence_f_min,all_valence_f_max,all_valence_f_range,all_valence_f_mode,all_unfilled_valence_f_sum,all_unfilled_valence_f_avg,all_unfilled_valence_f_dev,all_unfilled_valence_f_min,all_unfilled_valence_f_max,all_unfilled_valence_f_range,all_unfilled_valence_f_mode,all_valence_total_sum,all_valence_total_avg,all_valence_total_dev,all_valence_total_min,all_valence_total_max,all_valence_total_range,all_valence_total_mode,all_unfilled_valence_total_sum,all_unfilled_valence_total_avg,all_unfilled_valence_total_dev,all_unfilled_valence_total_min,all_unfilled_valence_total_max,all_unfilled_valence_total_range,all_unfilled_valence_total_mode,all_ionic_radius_sum,all_ionic_radius_avg,all_ionic_radius_dev,all_ionic_radius_min,all_ionic_radius_max,all_ionic_radius_range,all_ionic_radius_mode,all_unpaired_electrons_sum,all_unpaired_electrons_avg,all_unpaired_electrons_dev,all_unpaired_electrons_min,all_unpaired_electrons_max,all_unpaired_electrons_range,all_unpaired_electrons_mode,all_spin_moment_sum,all_spin_moment_avg,all_spin_moment_dev,all_spin_moment_min,all_spin_moment_max,all_spin_moment_range,all_spin_moment_mode,all_pauling_en_sum,all_pauling_en_avg,all_pauling_en_dev,all_pauling_en_min,all_pauling_en_max,all_pauling_en_range,all_pauling_en_mode,all_mulliken_en_sum,all_mulliken_en_avg,all_mulliken_en_dev,all_mulliken_en_min,all_mulliken_en_max,all_mulliken_en_range,all_mulliken_en_mode,all_allred_rochow_en_sum,all_allred_rochow_en_avg,all_allred_rochow_en_dev,all_allred_rochow_en_min,all_allred_rochow_en_max,all_allred_rochow_en_range,all_allred_rochow_en_mode,all_gordy_en_sum,all_gordy_en_avg,all_gordy_en_dev,all_gordy_en_min,all_gordy_en_max,all_gordy_en_range,all_gordy_en_mode,all_mb_en_sum,all_mb_en_avg,all_mb_en_dev,all_mb_en_min,all_mb_en_max,all_mb_en_range,all_mb_en_mode
P 4/m m m,Nd1Ba1Mn1Fe1O5.45,293.0,0.101325,tetragonal,Nd1Ba1Mn1Fe1O5.45,10.9,1.1534391534391535,0.9881580977717462,0.0,2.0,2.0,0.0,8.0,0.8465608465608466,0.9881580977717463,0.0,2.0,2.0,2.0,21.8,2.306878306878307,1.9763161955434925,0.0,4.0,4.0,0.0,34.9,3.693121693121693,1.9763161955434925,2.0,6.0,4.0,6.0,9.1,0.962962962962963,1.8725823789152845,0.0,5.0,5.0,0.0,85.4,9.037037037037038,1.8725823789152845,5.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.3,14.000000000000002,1.7763568394002505e-15,14.0,14.0,0.0,14.0,41.800000000000004,4.423280423280424,2.3728374349692305,0.0,6.0,6.0,0.0,260.6,27.576719576719583,2.3728374349692305,26.0,32.0,6.0,32.0,1106.8500000000001,117.12698412698415,21.439375876980584,78.5,149.0,70.5,78.5,20.0,2.1164021164021167,1.503855984604039,0.0,5.0,5.0,0.0,26.331697128286038,2.7864229765382054,1.791477593877452,0.0,5.916079783099616,5.916079783099616,0.0,24.158,2.5564021164021167,0.9913417593368317,0.95,3.38,2.4299999999999997,0.95,,,,,,,4.4723107473739105,7.03605197159473,0.7445557641899185,0.0005391096482253038,0.7441169434783457,0.7454874923943088,0.0013705489159631101,0.7447845362819826,1.5307863437247131,0.16198797288092204,0.15164411785787585,0.041044229168681036,0.46530750941749927,0.4242632802488182,0.3256153370902827,0.37423258882645577,0.0396013321509477,0.021075925111192773,0.0,0.06369426751592357,0.06369426751592357,0.0
P 4/m m m,Nd1Ba1Mn1Fe1O5.17,293.0,0.101325,tetragonal,Nd1Ba1Mn1Fe1O5.17,10.34,1.1275899672846237,0.9918270011692102,0.0,2.0,2.0,0.0,8.0,0.8724100327153762,0.9918270011692103,0.0,2.0,2.0,2.0,20.68,2.2551799345692474,1.9836540023384204,0.0,4.0,4.0,0.0,34.339999999999996,3.744820065430752,1.9836540023384206,2.0,6.0,4.0,6.0,9.66,1.0534351145038168,2.002283777711791,0.0,5.0,5.0,0.0,82.04,8.946564885496183,2.002283777711791,5.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.38,14.0,0.0,14.0,14.0,0.0,14.0,40.67999999999999,4.436205016357687,2.3949050776437013,0.0,6.0,6.0,0.0,252.76,27.56379498364231,2.3949050776437013,26.0,32.0,6.0,32.0,1081.93,117.98582333696838,20.103774275855468,78.5,149.0,70.5,78.5,20.0,2.1810250817884405,1.617768646666279,0.0,5.0,5.0,0.0,26.109313699975726,2.8472534023964804,1.9050574867035546,0.0,5.916079783099616,5.916079783099616,0.0,23.1948,2.529422028353326,0.9973662118827087,0.95,3.38,2.4299999999999997,0.95,,,,,,,4.4723107473739105,6.827474074005821,0.7445446100333502,0.0005229302974184607,0.7441169434783457,0.7454874923943088,0.0013705489159631101,0.7447845362819826,1.4920827178475868,0.16271349158643258,0.1511437834493769,0.041044229168681036,0.46530750941749927,0.4242632802488182,0.3256153370902827,0.361230203027432,0.03939260665511799,0.02136801947287742,0.0,0.06369426751592357,0.06369426751592357,0.0
P 4/m m m,Nd1Ba1Mn1Fe1O5.09,293.0,0.101325,tetragonal,Nd1Ba1Mn1Fe1O5.09,10.18,1.11991199119912,0.9927845256482708,0.0,2.0,2.0,0.0,8.0,0.8800880088008801,0.9927845256482708,0.0,2.0,2.0,2.0,20.36,2.23982398239824,1.9855690512965416,0.0,4.0,4.0,0.0,34.18,3.76017601760176,1.9855690512965416,2.0,6.0,4.0,6.0,9.82,1.0803080308030804,2.0384471520757392,0.0,5.0,5.0,0.0,81.08,8.91969196919692,2.0384471520757392,5.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.25999999999999,14.0,0.0,14.0,14.0,0.0,14.0,40.36,4.44004400440044,2.4014073610687516,0.0,6.0,6.0,0.0,250.51999999999998,27.55995599559956,2.401407361068752,26.0,32.0,6.0,32.0,1074.8100000000002,118.24092409240926,19.68239952524198,78.5,149.0,70.5,78.5,20.0,2.2002200220022003,1.6496023976710872,0.0,5.0,5.0,0.0,26.045775577601354,2.8653218457207212,1.9371440266695619,0.0,5.916079783099616,5.916079783099616,0.0,22.919600000000003,2.521408140814082,0.9990083078221339,0.95,3.38,2.4299999999999997,0.95,,,,,,,4.4723107473739105,6.767880388980418,0.7445412969175378,0.0005179809534285812,0.7441169434783457,0.7454874923943088,0.0013705489159631101,0.7447845362819826,1.481024539025551,0.1629289921920298,0.15099417839529203,0.041044229168681036,0.46530750941749927,0.4242632802488182,0.3256153370902827,0.35751523565628235,0.03933060898308937,0.021453622966604843,0.0,0.06369426751592357,0.06369426751592357,0.0
I 4/m m m,Sr2Mn2.275Cr0.725As2O2,300.0,0.101325,tetragonal,Sr2Mn2.275Cr0.725As2O2,8.0,0.38095238095238093,0.785353452498602,0.0,2.0,2.0,0.0,34.0,1.619047619047619,0.785353452498602,0.0,2.0,2.0,2.0,8.0,0.38095238095238093,1.1741740958036146,0.0,4.0,4.0,0.0,118.0,5.619047619047619,1.1741740958036146,2.0,6.0,4.0,6.0,82.275,3.917857142857143,2.5647175985952564,0.0,10.0,10.0,0.0,127.725,6.082142857142857,2.5647175985952564,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,14.0,0.0,14.0,14.0,0.0,14.0,98.275,4.6797619047619055,2.765186627728371,0.0,12.0,12.0,0.0,573.725,27.320238095238096,2.765186627728371,20.0,32.0,12.0,32.0,2076.825,98.89642857142856,16.06682434047734,72.0,132.0,60.0,132.0,66.275,3.1559523809523813,1.6806214263434842,0.0,5.0,5.0,0.0,81.45544970987588,3.878830938565518,2.0127342401458543,0.0,5.916079783099616,5.916079783099616,0.0,38.869749999999996,1.850940476190476,0.5687025302260291,1.01,3.38,2.37,1.01,,,,,,,3.910466030168077,15.640932129396566,0.744806291876027,0.00039937050381693866,0.7441169434783457,0.7458874810975874,0.00177053761924173,0.7446559329300353,4.376363320472785,0.20839825335584689,0.07445683603147189,0.041044229168681036,0.37854774102030514,0.3375035118516241,0.24117868179568958,1.0873288315106695,0.051777563405269976,0.03956809099427304,0.0,0.16666666666666666,0.16666666666666666,0.0
P 42 m c,Ca1Mn1Ti1.8V0.2O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1.8V0.2O6,12.0,1.2,0.9797958971132714,0.0,2.0,2.0,0.0,8.0,0.8,0.9797958971132714,0.0,2.0,2.0,2.0,24.0,2.4,1.9595917942265428,0.0,4.0,4.0,0.0,36.0,3.6,1.9595917942265428,2.0,6.0,4.0,6.0,5.2,0.52,1.0438390680559912,0.0,4.0,4.0,0.0,94.80000000000001,9.48,1.0438390680559912,6.0,10.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,14.0,0.0,14.0,14.0,0.0,14.0,41.199999999999996,4.119999999999999,2.4465485893396846,0.0,6.0,6.0,0.0,278.8,27.880000000000003,2.4465485893396846,26.0,32.0,6.0,32.0,1061.202,106.1202,32.919296559313054,0.67,126.0,125.33,113.99999999999999,17.2,1.72,0.8953211714239757,0.0,4.0,4.0,0.0,24.371636004052117,2.4371636004052117,1.122601258176699,0.0,4.898979485566356,4.898979485566356,0.0,26.288,2.6288,0.9343118109068299,1.06,3.38,2.32,1.06,,,,,,,3.259355563771952,17.040376331174173,1.7040376331174172,3.7984292342916097,0.7441169434783457,16.73865359768322,15.994536654204875,0.7444289399193718,18.833032397509403,1.8833032397509402,7.066279645908906,0.041044229168681036,29.850746268656714,29.809702039488034,0.13620933372807387,3.0148858377207075,0.3014885837720708,1.0552426225081897,0.0,4.477611940298507,4.477611940298507,0.0
P 42 m c,Ca1Mn1Ti1.6V0.4O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1.6V0.4O6,12.0,1.2,0.9797958971132713,0.0,2.0,2.0,0.0,8.0,0.8,0.9797958971132713,0.0,2.0,2.0,2.0,24.0,2.4,1.9595917942265426,0.0,4.0,4.0,0.0,36.0,3.6,1.9595917942265426,2.0,6.0,4.0,6.0,5.4,0.54,1.1525623627379127,0.0,4.0,4.0,0.0,94.60000000000001,9.46,1.1525623627379127,6.0,10.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,14.0,0.0,14.0,14.0,0.0,14.0,41.400000000000006,4.140000000000001,2.465846710564142,0.0,6.0,6.0,0.0,278.6,27.860000000000003,2.465846710564142,26.0,32.0,6.0,32.0,1089.734,108.9734,26.032807578899362,0.67,126.0,125.33,113.99999999999999,17.400000000000002,1.7400000000000002,0.9961927524329818,0.0,4.0,4.0,0.0,24.435624298281912,2.4435624298281913,1.2365284677402886,0.0,4.898979485566356,4.898979485566356,0.0,26.306,2.6306000000000003,0.9325929658752525,1.06,3.38,2.32,1.06,,,,,,,3.259355563771952,10.643074197531462,1.0643074197531461,2.2391923520975188,0.7441169434783457,16.73865359768322,15.994536654204875,0.7444289399193718,7.005446675889176,0.7005446675889175,4.165190350017616,0.041044229168681036,29.850746268656714,29.809702039488034,0.13620933372807387,1.2417540914039313,0.12417540914039313,0.6222164322841364,0.0,4.477611940298507,4.477611940298507,0.0
P 42 m c,Ca1Mn1Ti1.4V0.6O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1.4V0.6O6,12.0,1.2,0.9797958971132713,0.0,2.0,2.0,0.0,8.0,0.8,0.9797958971132713,0.0,2.0,2.0,2.0,24.0,2.4,1.9595917942265426,0.0,4.0,4.0,0.0,36.0,3.6,1.9595917942265426,2.0,6.0,4.0,6.0,5.6,0.5599999999999999,1.2674383614203888,0.0,5.0,5.0,0.0,94.39999999999999,9.44,1.2674383614203888,5.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,14.0,0.0,14.0,14.0,0.0,14.0,41.6,4.16,2.492869832141261,0.0,6.0,6.0,0.0,278.4,27.839999999999996,2.492869832141261,26.0,32.0,6.0,32.0,1106.4,110.64000000000001,21.473947005615898,68.0,126.0,58.0,113.99999999999999,17.6,1.7600000000000002,1.1056219968868202,0.0,5.0,5.0,0.0,24.497833424146577,2.4497833424146576,1.355935682555654,0.0,5.916079783099616,5.916079783099616,0.0,26.324,2.6324,0.9308868030002359,1.06,3.38,2.32,1.06,,,,,,,3.259355563771952,7.444389339725477,0.7444389339725477,0.0004468066893951894,0.7441169434783457,0.7454133426650369,0.0012963991866912217,0.7444289399193718,1.0873364933768757,0.10873364933768756,0.08820251839491576,0.041044229168681036,0.2677083599512835,0.22666413078260247,0.13620933372807387,0.3540718458922762,0.03540718458922762,0.01972487402294454,0.0,0.05154639175257732,0.05154639175257732,0.0
P 42 m c,Ca1Mn1Ti1.2V0.8O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1.2V0.8O6,12.0,1.2,0.9797958971132713,0.0,2.0,2.0,0.0,8.0,0.8,0.9797958971132713,0.0,2.0,2.0,2.0,24.0,2.4,1.9595917942265426,0.0,4.0,4.0,0.0,36.0,3.6,1.9595917942265426,2.0,6.0,4.0,6.0,5.800000000000001,0.5800000000000001,1.3869390758068647,0.0,5.0,5.0,0.0,94.2,9.42,1.3869390758068647,5.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,14.0,0.0,14.0,14.0,0.0,14.0,41.800000000000004,4.180000000000001,2.5273701747072983,0.0,6.0,6.0,0.0,278.2,27.82,2.5273701747072983,26.0,32.0,6.0,32.0,1111.2,111.12,21.114345834053207,68.0,126.0,58.0,113.99999999999999,17.8,1.78,1.2213107712617621,0.0,5.0,5.0,0.0,24.558263381646107,2.4558263381646106,1.479498900566337,0.0,5.916079783099616,5.916079783099616,0.0,26.342,2.6342,0.929193392141808,1.06,3.38,2.32,1.06,,,,,,,3.259355563771952,7.444321757756224,0.7444321757756225,0.0004433078873110649,0.7441169434783457,0.7454133426650369,0.0012963991866912217,0.7444289399193718,1.0787018499725032,0.10787018499725032,0.08712504220159678,0.041044229168681036,0.2677083599512835,0.22666413078260247,0.13620933372807387,0.35183910118574246,0.035183910118574246,0.020104889458518876,0.0,0.05154639175257732,0.05154639175257732,0.0
P 42 m c,Ca1Mn1Ti1V1O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1V1O6,12.0,1.2,0.9797958971132712,0.0,2.0,2.0,0.0,8.0,0.8,0.9797958971132712,0.0,2.0,2.0,2.0,24.0,2.4,1.9595917942265424,0.0,4.0,4.0,0.0,36.0,3.6,1.9595917942265424,2.0,6.0,4.0,6.0,6.0,0.6,1.4966629547095767,0.0,5.0,5.0,0.0,94.0,9.4,1.4966629547095764,5.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,14.0,0.0,14.0,14.0,0.0,14.0,42.0,4.2,2.5612496949731396,0.0,6.0,6.0,0.0,278.0,27.8,2.5612496949731396,26.0,32.0,6.0,32.0,1116.0,111.6,20.737405816543205,68.0,126.0,58.0,113.99999999999999,18.0,1.8,1.32664991614216,0.0,5.0,5.0,0.0,24.618693339145636,2.4618693339145636,1.5934865492783628,0.0,5.916079783099616,5.916079783099616,0.0,26.36,2.636,0.9274933962029056,1.06,3.38,2.32,1.06,,,,,,,3.259355563771952,7.4442541757869725,0.7444254175786973,0.00043967738373124104,0.7441169434783457,0.7454133426650369,0.0012963991866912217,0.7444289399193718,1.0700672065681303,0.10700672065681302,0.08602540650714864,0.041044229168681036,0.2677083599512835,0.22666413078260247,0.13620933372807387,0.3496063564792087,0.03496063564792087,0.0204754194603921,0.0,0.05154639175257732,0.05154639175257732,0.0
P 42 m c,Ca1Mn1Ti0.8V1.2O6,293.0,0.101325,tetragonal,Ca1Mn1Ti0.8V1.2O6,12.0,1.1999999999999997,0.9797958971132711,0.0,2.0,2.0,0.0,8.0,0.7999999999999998,0.9797958971132711,0.0,2.0,2.0,2.0,24.0,2.3999999999999995,1.9595917942265422,0.0,4.0,4.0,0.0,36.0,3.599999999999999,1.9595917942265424,2.0,6.0,4.0,6.0,6.2,0.6199999999999999,1.4951922953252532,0.0,5.0,5.0,0.0,93.8,9.379999999999997,1.4951922953252534,5.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,13.999999999999998,1.7763568394002505e-15,14.0,14.0,0.0,14.0,42.199999999999996,4.219999999999999,2.532113741521103,0.0,6.0,6.0,0.0,277.8,27.779999999999998,2.532113741521103,26.0,32.0,6.0,32.0,1115.0,111.49999999999999,20.880852473019388,68.0,126.0,58.0,113.99999999999999,18.2,1.8199999999999996,1.3067516979135707,0.0,5.0,5.0,0.0,24.96510350065941,2.4965103500659405,1.558023129486091,0.0,5.916079783099616,5.916079783099616,0.0,26.377999999999997,2.637799999999999,0.925605293848301,1.06,3.38,2.32,1.06,,,,,,,3.259355563771952,7.444286347323488,0.7444286347323487,0.00044299868706357064,0.7441169434783457,0.7454133426650369,0.0012963991866912217,0.7444289399193718,1.0749200897195275,0.10749200897195273,0.08664072392081232,0.041044229168681036,0.2677083599512835,0.22666413078260247,0.13620933372807387,0.35269277623229506,0.0352692776232295,0.02005578810464549,0.0,0.05154639175257732,0.05154639175257732,0.0
