HMS,StructuredFormula,Temperature,Pressure,crystal_system,formula,var_valence_s_sum,var_valence_s_avg,var_valence_s_dev,var_valence_s_min,var_valence_s_max,var_valence_s_range,var_valence_s_mode,var_unfilled_valence_s_sum,var_unfilled_valence_s_avg,var_unfilled_valence_s_dev,var_unfilled_valence_s_min,var_unfilled_valence_s_max,var_unfilled_valence_s_range,var_unfilled_valence_s_mode,var_valence_p_sum,var_valence_p_avg,var_valence_p_dev,var_valence_p_min,var_valence_p_max,var_valence_p_range,var_valence_p_mode,var_unfilled_valence_p_sum,var_unfilled_valence_p_avg,var_unfilled_valence_p_dev,var_unfilled_valence_p_min,var_unfilled_valence_p_max,var_unfilled_valence_p_range,var_unfilled_valence_p_mode,var_valence_d_sum,var_valence_d_avg,var_valence_d_dev,var_valence_d_min,var_valence_d_max,var_valence_d_range,var_valence_d_mode,var_unfilled_valence_d_sum,var_unfilled_valence_d_avg,var_unfilled_valence_d_dev,var_unfilled_valence_d_min,var_unfilled_valence_d_max,var_unfilled_valence_d_range,var_unfilled_valence_d_mode,var_valence_f_sum,var_valence_f_avg,var_valence_f_dev,var_valence_f_min,var_valence_f_max,var_valence_f_range,var_valence_f_mode,var_unfilled_valence_f_sum,var_unfilled_valence_f_avg,var_unfilled_valence_f_dev,var_unfilled_valence_f_min,var_unfilled_valence_f_max,var_unfilled_valence_f_range,var_unfilled_valence_f_mode,var_valence_total_sum,var_valence_total_avg,var_valence_total_dev,var_valence_total_min,var_valence_total_max,var_valence_total_range,var_valence_total_mode,var_unfilled_valence_total_sum,var_unfilled_valence_total_avg,var_unfilled_valence_total_dev,var_unfilled_valence_total_min,var_unfilled_valence_total_max,var_unfilled_valence_total_range,var_unfilled_valence_total_mode,var_ionic_radius_sum,var_ionic_radius_avg,var_ionic_radius_dev,var_ionic_radius_min,var_ionic_radius_max,var_ionic_radius_range,var_ionic_radius_mode,var_unpaired_electrons_sum,var_unpaired_electrons_avg,var_unpaired_electrons_dev,var_unpaired_electrons_min,var_unpaired_electrons_max,var_unpaired_electrons_range,var_unpaired_electrons_mode,var_spin_moment_sum,var_spin_moment_avg,var_spin_moment_dev,var_spin_moment_min,var_spin_moment_max,var_spin_moment_range,var_spin_moment_mode,var_pauling_en_sum,var_pauling_en_avg,var_pauling_en_dev,var_pauling_en_min,var_pauling_en_max,var_pauling_en_range,var_pauling_en_mode,var_allred_rochow_en_sum,var_allred_rochow_en_avg,var_allred_rochow_en_dev,var_allred_rochow_en_min,var_allred_rochow_en_max,var_allred_rochow_en_range,var_allred_rochow_en_mode,var_gordy_en_sum,var_gordy_en_avg,var_gordy_en_dev,var_gordy_en_min,var_gordy_en_max,var_gordy_en_range,var_gordy_en_mode,var_mb_en_sum,var_mb_en_avg,var_mb_en_dev,var_mb_en_min,var_mb_en_max,var_mb_en_range,var_mb_en_mode
P 4/m m m,Nd1Ba1Mn1Fe1O5.45,293.0,0.101325,tetragonal,Nd1Ba1Mn1Fe1O5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,6.0,6.0,0.0,6.0,9.1,3.033333333333333,2.183015244004392,0.0,5.0,5.0,5.0,20.9,6.966666666666666,2.183015244004392,5.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,14.0,14.0,0.0,14.0,9.1,3.033333333333333,2.183015244004392,0.0,5.0,5.0,5.0,86.9,28.96666666666667,2.183015244004392,27.0,32.0,5.0,27.0,271.15,90.38333333333333,15.843233746794102,78.5,112.3,33.8,78.5,9.1,3.033333333333333,2.183015244004392,0.0,5.0,5.0,5.0,10.916769298419299,3.6389230994730997,2.60606446763207,0.0,5.916079783099616,5.916079783099616,5.916079783099616,4.787000000000001,1.595666666666667,0.28325116455580945,1.23,1.9200000000000002,0.6900000000000002,1.23,2.2358300933557635,0.7452766977852545,0.00016881590777860717,0.7447630991603783,0.7454874923943088,0.0007243932339304759,0.7454874923943088,0.981479957665119,0.327159985888373,0.09827351602113357,0.20618556701030927,0.46530750941749927,0.25912194240719,0.46530750941749927,0.11470877930264627,0.038236259767548755,0.027528390660766396,0.0,0.06369426751592357,0.06369426751592357,0.0
P 4/m m m,Nd1Ba1Mn1Fe1O5.17,293.0,0.101325,tetragonal,Nd1Ba1Mn1Fe1O5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,6.0,6.0,0.0,6.0,9.66,3.22,2.2974478594010934,0.0,5.0,5.0,5.0,20.34,6.78,2.2974478594010934,5.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,14.0,14.0,0.0,14.0,9.66,3.22,2.2974478594010934,0.0,5.0,5.0,5.0,86.33999999999999,28.779999999999998,2.2974478594010934,27.0,32.0,5.0,27.0,281.51,93.83666666666666,14.862536421785107,78.5,112.3,33.8,78.5,9.66,3.22,2.2974478594010934,0.0,5.0,5.0,5.0,11.486345465037925,3.8287818216793084,2.7252699735337687,0.0,5.916079783099616,5.916079783099616,5.916079783099616,4.7702,1.5900666666666667,0.28261516040171825,1.23,1.9200000000000002,0.6900000000000002,1.23,2.2356049399407905,0.7452016466469301,0.0002641655245400008,0.7447630991603783,0.7454874923943088,0.0007243932339304759,0.7454874923943088,0.9542687159552232,0.3180895719850744,0.1064389148750181,0.20618556701030927,0.46530750941749927,0.25912194240719,0.46530750941749927,0.11503972683695582,0.038346575612318606,0.027580274934913284,0.0,0.06369426751592357,0.06369426751592357,0.0
P 4/m m m,Nd1Ba1Mn1Fe1O5.09,293.0,0.101325,tetragonal,Nd1Ba1Mn1Fe1O5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,6.0,6.0,0.0,6.0,9.82,3.2733333333333334,2.326361011441594,0.0,5.0,5.0,5.0,20.18,6.726666666666667,2.326361011441594,5.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,14.0,14.0,0.0,14.0,9.82,3.2733333333333334,2.326361011441594,0.0,5.0,5.0,5.0,86.18,28.72666666666667,2.326361011441594,27.0,32.0,5.0,27.0,284.47,94.82333333333334,14.419100372615329,78.5,112.3,33.8,78.5,9.82,3.2733333333333334,2.326361011441594,0.0,5.0,5.0,5.0,11.649081512643246,3.883027170881082,2.755981372130914,0.0,5.916079783099616,5.916079783099616,5.916079783099616,4.7654000000000005,1.588466666666667,0.28241278693115557,1.23,1.9200000000000002,0.6900000000000002,1.23,2.2355406103936555,0.7451802034645518,0.0002819749686307228,0.7447630991603783,0.7454874923943088,0.0007243932339304759,0.7454874923943088,0.9464940754666816,0.3154980251555605,0.10852008232454943,0.20618556701030927,0.46530750941749927,0.25912194240719,0.46530750941749927,0.11513428327532996,0.03837809442510998,0.027595000094232852,0.0,0.06369426751592357,0.06369426751592357,0.0
I 4/m m m,Sr2Mn2.275Cr0.725As2O2,300.0,0.101325,tetragonal,Sr2Mn2.275Cr0.725As2O2,4.0,0.23529411764705882,0.6443794794178425,0.0,2.0,2.0,0.0,30.0,1.7647058823529411,0.6443794794178425,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,6.0,0.0,6.0,6.0,0.0,6.0,82.275,4.839705882352941,1.9141608287186036,4.0,10.0,6.0,5.0,87.725,5.160294117647059,1.9141608287186036,0.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,14.0,0.0,14.0,14.0,0.0,14.0,86.275,5.075,2.5510018216609818,4.0,12.0,8.0,5.0,457.725,26.925,2.5510018216609818,20.0,28.0,8.0,27.0,1560.8249999999998,91.81323529411763,7.305042666295754,72.0,97.0,25.0,97.0,62.275,3.663235294117647,1.3794078452220748,0.0,5.0,5.0,5.0,75.7985954603835,4.458740909434323,1.6637785051807474,0.0,5.916079783099616,5.916079783099616,5.916079783099616,30.089750000000002,1.7699852941176473,0.18630343628600177,1.61,2.27,0.6599999999999999,1.61,12.663386376579805,0.7449050809752826,0.0003587483854776811,0.7447630991603783,0.7458874810975874,0.0011243819372090957,0.7447630991603783,3.8119174985440436,0.2242304410908261,0.056357675192838574,0.20320234589823025,0.37854774102030514,0.1753453951220749,0.20618556701030927,0.9920907362725743,0.05835827860426907,0.03966454399755288,0.0425531914893617,0.16666666666666666,0.12411347517730495,0.05154639175257732
P 42 m c,Ca1Mn1Ti1.8V0.2O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1.8V0.2O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,6.0,6.0,0.0,6.0,5.2,1.7333333333333334,1.2364824660660938,0.0,4.0,4.0,1.0,24.8,8.266666666666667,1.2364824660660938,6.0,10.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,14.0,14.0,0.0,14.0,5.2,1.7333333333333334,1.2364824660660938,0.0,4.0,4.0,1.0,90.80000000000001,30.26666666666667,1.2364824660660938,28.0,32.0,4.0,31.0,191.202,63.734,31.694905331929924,0.67,81.0,80.33,81.0,5.2,1.7333333333333334,1.2364824660660938,0.0,4.0,4.0,1.0,7.401073255574972,2.4670244185249905,1.383398177822073,0.0,4.898979485566356,4.898979485566356,1.7320508075688772,4.948,1.6493333333333335,0.038204130085051656,1.6300000000000001,1.7799999999999998,0.1499999999999997,1.6300000000000001,11.83124573038473,3.94374857679491,6.3974525117185275,0.7449471331721115,16.73865359768322,15.99370646451111,0.7449471331721115,18.45055768876924,6.1501858962564135,11.850293538415155,0.2136985708663774,29.850746268656714,29.637047697790337,0.2136985708663774,2.729171552006422,0.9097238506688073,1.7839960472139123,0.0,4.477611940298507,4.477611940298507,0.012345679012345678
P 42 m c,Ca1Mn1Ti1.6V0.4O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1.6V0.4O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.000000000000004,6.000000000000001,8.881784197001252e-16,6.0,6.0,0.0,6.0,5.4,1.8,1.4696938456699071,0.0,4.0,4.0,1.0,24.599999999999998,8.2,1.469693845669907,6.0,10.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,14.0,14.0,0.0,14.0,5.4,1.8,1.4696938456699071,0.0,4.0,4.0,1.0,90.60000000000001,30.200000000000003,1.4696938456699067,28.0,32.0,4.0,31.0,219.734,73.24466666666667,19.855697710117255,0.67,81.0,80.33,81.0,5.4,1.8,1.4696938456699071,0.0,4.0,4.0,1.0,7.465061549804772,2.488353849934924,1.6757371862896764,0.0,4.898979485566356,4.898979485566356,1.7320508075688772,4.966,1.6553333333333333,0.04991548412622625,1.6300000000000001,1.7799999999999998,0.1499999999999997,1.6300000000000001,5.433943596742016,1.8113145322473387,3.9894991803536013,0.7449471331721115,16.73865359768322,15.99370646451111,0.7449471331721115,6.622971967149016,2.2076573223830054,7.387959157019718,0.2136985708663774,29.850746268656714,29.637047697790337,0.2136985708663774,0.9560398056896455,0.31867993522988186,1.1116732227989479,0.0,4.477611940298507,4.477611940298507,0.012345679012345678
P 42 m c,Ca1Mn1Ti1.4V0.6O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1.4V0.6O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,6.0,6.0,0.0,6.0,5.6,1.8666666666666665,1.7074997966487597,0.0,5.0,5.0,1.0,24.400000000000002,8.133333333333335,1.7074997966487595,5.0,10.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,14.0,14.0,0.0,14.0,5.6,1.8666666666666665,1.7074997966487597,0.0,5.0,5.0,1.0,90.4,30.133333333333336,1.7074997966487595,27.0,32.0,5.0,31.0,236.4,78.8,6.906036007242746,68.0,97.0,29.0,81.0,5.6,1.8666666666666665,1.7074997966487597,0.0,5.0,5.0,1.0,7.527270675669436,2.509090225223145,1.9590302639374917,0.0,5.916079783099616,5.916079783099616,1.7320508075688772,4.984,1.6613333333333333,0.059762492882706464,1.61,1.7799999999999998,0.1699999999999997,1.6300000000000001,2.235258738936032,0.7450862463120106,0.00019761514043042784,0.7447630991603783,0.7454133426650369,0.0006502435046585875,0.7449471331721115,0.7048617846367156,0.2349539282122385,0.02419440200355095,0.20618556701030927,0.2677083599512835,0.061522792940974236,0.2136985708663774,0.0683575601779905,0.022785853392663497,0.020529379242117788,0.0,0.05154639175257732,0.05154639175257732,0.012345679012345678
P 42 m c,Ca1Mn1Ti1.2V0.8O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1.2V0.8O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,6.0,6.0,0.0,6.0,5.800000000000001,1.9333333333333336,1.948218559493661,0.0,5.0,5.0,1.0,24.199999999999996,8.066666666666665,1.948218559493661,5.0,10.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,14.0,14.0,0.0,14.0,5.800000000000001,1.9333333333333336,1.948218559493661,0.0,5.0,5.0,1.0,90.2,30.066666666666666,1.948218559493661,27.0,32.0,5.0,31.0,241.20000000000002,80.4,9.835649444749443,68.0,97.0,29.0,81.0,5.800000000000001,1.9333333333333336,1.948218559493661,0.0,5.0,5.0,1.0,7.587700633168964,2.5292335443896548,2.2367337074256612,0.0,5.916079783099616,5.916079783099616,1.7320508075688772,5.002000000000001,1.6673333333333336,0.06855330448312129,1.61,1.7799999999999998,0.1699999999999997,1.6300000000000001,2.2351911569667795,0.7450637189889265,0.00023974949458888356,0.7447630991603783,0.7454133426650369,0.0006502435046585875,0.7449471331721115,0.696227141232343,0.23207571374411431,0.026008537619000714,0.20618556701030927,0.2677083599512835,0.061522792940974236,0.2136985708663774,0.06612481547145674,0.022041605157152245,0.021277545778978654,0.0,0.05154639175257732,0.05154639175257732,0.012345679012345678
P 42 m c,Ca1Mn1Ti1V1O6,293.0,0.101325,tetragonal,Ca1Mn1Ti1V1O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,2.0,2.160246899469287,0.0,5.0,5.0,5.0,24.0,8.0,2.160246899469287,5.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,14.0,14.0,0.0,14.0,6.0,2.0,2.160246899469287,0.0,5.0,5.0,5.0,90.0,30.0,2.160246899469287,27.0,32.0,5.0,27.0,246.0,82.0,11.86029791643813,68.0,97.0,29.0,97.0,6.0,2.0,2.160246899469287,0.0,5.0,5.0,5.0,7.648130590668494,2.5493768635561644,2.4834138346701704,0.0,5.916079783099616,5.916079783099616,5.916079783099616,5.02,1.6733333333333331,0.07586537784494014,1.61,1.7799999999999998,0.1699999999999997,1.61,2.2351235749975267,0.7450411916658423,0.0002736657377408234,0.7447630991603783,0.7454133426650369,0.0006502435046585875,0.7447630991603783,0.6875924978279702,0.22919749927599006,0.02740348030450659,0.20618556701030927,0.2677083599512835,0.061522792940974236,0.20618556701030927,0.063892070764923,0.021297356921641,0.021975092396034304,0.0,0.05154639175257732,0.05154639175257732,0.05154639175257732
P 42 m c,Ca1Mn1Ti0.8V1.2O6,293.0,0.101325,tetragonal,Ca1Mn1Ti0.8V1.2O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,6.0,6.0,0.0,6.0,6.2,2.066666666666667,2.1123972690339814,0.0,5.0,5.0,1.0,23.799999999999997,7.933333333333333,2.1123972690339814,5.0,10.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.00000000000001,14.000000000000002,1.7763568394002505e-15,14.0,14.0,0.0,14.0,6.2,2.066666666666667,2.1123972690339814,0.0,5.0,5.0,1.0,89.80000000000001,29.933333333333337,2.1123972690339814,27.0,32.0,5.0,31.0,245.00000000000003,81.66666666666667,11.86404465414538,68.0,97.0,29.0,97.0,6.2,2.066666666666667,2.1123972690339814,0.0,5.0,5.0,1.0,7.994540752182269,2.66484691739409,2.401095077984603,0.0,5.916079783099616,5.916079783099616,1.7320508075688772,5.038,1.6793333333333333,0.07496369491664306,1.61,1.7799999999999998,0.1699999999999997,1.61,2.2351557465340424,0.7450519155113474,0.00026716590284049267,0.7447630991603783,0.7454133426650369,0.0006502435046585875,0.7447630991603783,0.6924453809793673,0.23081512699312243,0.026607309233749626,0.20618556701030927,0.2677083599512835,0.061522792940974236,0.20618556701030927,0.06697849051800941,0.022326163506003138,0.021297502968405085,0.0,0.05154639175257732,0.05154639175257732,0.05154639175257732
