UID,Chemical,Scientist,Exp No.,Plate No. Pos,Time,Temperature,Date made
000001,NaCuO2,FT,001,2.1,12,950,07/11/2024
000002,NaFeO2,FT,001,2.2,12,950,07/11/2024
000003,NaMnO2,FT,001,2.3,12,950,07/11/2024
000004,NaNiO2,FT,001,2.4,12,950,07/11/2024
000005,NaCu0.5Fe0.5O2,FT,001,2.5,12,950,07/11/2024
000006,NaCu0.5Mn0.5O2,FT,001,2.6,12,950,07/11/2024
000007,NaCu0.5Ni0.5O2,FT,001,2.7,12,950,07/11/2024
000008,NaFe0.5Mn0.5O2,FT,001,2.8,12,950,07/11/2024
000009,NaFe0.5Ni0.5O2,FT,001,2.9,12,950,07/11/2024
000010,NaMn0.5Ni0.5O2,FT,001,2.1,12,950,07/11/2024
000011,NaCu1/3Fe1/3Mn1/3O2,FT,001,1.1,12,950,07/11/2024
000012,NaCu1/3Fe1/3Ni1/3O2,FT,001,1.2,12,950,07/11/2024
000013,NaCu1/3Mn1/3Ni1/3O2,FT,001,1.3,12,950,07/11/2024
000014,NaFe1/3Mn1/3Ni1/3O2,FT,001,1.4,12,950,07/11/2024
000015,NaCu0.25Fe0.25Mn0.25Ni0.25O2,FT,001,2.12,12,950,07/11/2024
000016,Na0.75CuO2,FT,001,5.1,12,950,08/11/2024
000017,Na0.75FeO2,FT,001,5.2,12,950,08/11/2024
000018,Na0.75MnO2,FT,001,5.3,12,950,08/11/2024
000019,Na0.75NiO2,FT,001,5.4,12,950,08/11/2024
000020,Na0.75Cu0.5Fe0.5O2,FT,001,5.5,12,950,08/11/2024
000021,Na0.75Cu0.5Mn0.5O2,FT,001,5.6,12,950,08/11/2024
000022,Na0.75Cu0.5Ni0.5O2,FT,001,5.7,12,950,08/11/2024
000023,Na0.75Fe0.5Mn0.5O2,FT,001,5.8,12,950,08/11/2024
000024,Na0.75Fe0.5Ni0.5O2,FT,001,5.9,12,950,08/11/2024
000025,Na0.75Mn0.5Ni0.5O2,FT,001,5.1,12,950,08/11/2024
000026,Na0.75Cu0.3Fe0.3Mn0.3O2,FT,001,4.1,12,950,08/11/2024
000027,Na0.75Cu0.3Fe0.3Ni0.3O2,FT,001,4.2,12,950,08/11/2024
000028,Na0.75Cu0.3Mn0.3Ni0.3O2,FT,001,4.3,12,950,08/11/2024
000029,Na0.75Fe0.3Mn0.3Ni0.3O2,FT,001,4.4,12,950,08/11/2024
000030,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,FT,001,5.12,12,950,08/11/2024
000031,Na0.5CuO2,FT,001,8.1,12,950,11/11/2024
000032,Na0.5FeO2,FT,001,8.2,12,950,11/11/2024
000033,Na0.5MnO2,FT,001,8.3,12,950,11/11/2024
000034,Na0.5NiO2,FT,001,8.4,12,950,11/11/2024
000035,Na0.5Cu0.5Fe0.5O2,FT,001,8.5,12,950,11/11/2024
000036,Na0.5Cu0.5Mn0.5O2,FT,001,8.6,12,950,11/11/2024
000037,Na0.5Cu0.5Ni0.5O2,FT,001,8.7,12,950,11/11/2024
000038,Na0.5Fe0.5Mn0.5O2,FT,001,8.8,12,950,11/11/2024
000039,Na0.5Fe0.5Ni0.5O2,FT,001,8.9,12,950,11/11/2024
000040,Na0.5Mn0.5Ni0.5O2,FT,001,8.1,12,950,11/11/2024
000041,Na0.5Cu1/3Fe1/3Mn1/3O2,FT,001,7.1,12,950,11/11/2024
000042,Na0.5Cu1/3Fe1/3Ni1/3O2,FT,001,7.2,12,950,11/11/2024
000043,Na0.5Cu1/3Mn1/3Ni1/3O2,FT,001,7.3,12,950,11/11/2024
000044,Na0.5Fe1/3Mn1/3Ni1/3O2,FT,001,7.4,12,950,11/11/2024
000045,Na0.5Cu0.25Fe0.25Mn0.25Ni0.25O2,FT,001,8.12,12,950,11/11/2024
000046,NaCuO2,FT,002,2.1,6,950,12/11/2024
000047,NaFeO2,FT,002,2.2,6,950,12/11/2024
000048,NaMnO2,FT,002,2.3,6,950,12/11/2024
000049,NaNiO2,FT,002,2.4,6,950,12/11/2024
000050,NaCu0.5Fe0.5O2,FT,002,2.5,6,950,12/11/2024
000051,NaCu0.5Mn0.5O2,FT,002,2.6,6,950,12/11/2024
000052,NaCu0.5Ni0.5O2,FT,002,2.7,6,950,12/11/2024
000053,NaFe0.5Mn0.5O2,FT,002,2.8,6,950,12/11/2024
000054,NaFe0.5Ni0.5O2,FT,002,2.9,6,950,12/11/2024
000055,NaMn0.5Ni0.5O2,FT,002,2.1,6,950,12/11/2024
000056,NaCu1/3Fe1/3Mn1/3O2,FT,002,1.1,6,950,12/11/2024
000057,NaCu1/3Fe1/3Ni1/3O2,FT,002,1.2,6,950,12/11/2024
000058,NaCu1/3Mn1/3Ni1/3O2,FT,002,1.3,6,950,12/11/2024
000059,NaFe1/3Mn1/3Ni1/3O2,FT,002,1.4,6,950,12/11/2024
000060,NaCu0.25Fe0.25Mn0.25Ni0.25O2,FT,002,2.12,6,950,12/11/2024
000061,Na0.75CuO2,FT,002,5.1,6,950,13/11/2024
000062,Na0.75FeO2,FT,002,5.2,6,950,13/11/2024
000063,Na0.75MnO2,FT,002,5.3,6,950,13/11/2024
000064,Na0.75NiO2,FT,002,5.4,6,950,13/11/2024
000065,Na0.75Cu0.5Fe0.5O2,FT,002,5.5,6,950,13/11/2024
000066,Na0.75Cu0.5Mn0.5O2,FT,002,5.6,6,950,13/11/2024
000067,Na0.75Cu0.5Ni0.5O2,FT,002,5.7,6,950,13/11/2024
000068,Na0.75Fe0.5Mn0.5O2,FT,002,5.8,6,950,13/11/2024
000069,Na0.75Fe0.5Ni0.5O2,FT,002,5.9,6,950,13/11/2024
000070,Na0.75Mn0.5Ni0.5O2,FT,002,5.1,6,950,13/11/2024
000071,Na0.75Cu1/3Fe1/3Mn1/3O2,FT,002,4.1,6,950,13/11/2024
000072,Na0.75Cu1/3Fe1/3Ni1/3O2,FT,002,4.2,6,950,13/11/2024
000073,Na0.75Cu1/3Mn1/3Ni1/3O2,FT,002,4.3,6,950,13/11/2024
000074,Na0.75Fe1/3Mn1/3Ni1/3O2,FT,002,4.4,6,950,13/11/2024
000075,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,FT,002,5.12,6,950,13/11/2024
000076,Na0.5CuO2,FT,002,8.1,6,950,14/11/2024
000077,Na0.5FeO2,FT,002,8.2,6,950,14/11/2024
000078,Na0.5MnO2,FT,002,8.3,6,950,14/11/2024
000079,Na0.5NiO2,FT,002,8.4,6,950,14/11/2024
000080,Na0.5Cu0.5Fe0.5O2,FT,002,8.5,6,950,14/11/2024
000081,Na0.5Cu0.5Mn0.5O2,FT,002,8.6,6,950,14/11/2024
000082,Na0.5Cu0.5Ni0.5O2,FT,002,8.7,6,950,14/11/2024
000083,Na0.5Fe0.5Mn0.5O2,FT,002,8.8,6,950,14/11/2024
