Element,Ox,Red,SRP (V)
Sr,1,0,-4.101
Ca,1,0,-3.8
Th,4,3,-3.6
Pr,3,2,-3.1
Cs,1,0,-3.026
Ca,2,0,-3.02
Er,3,2,-3
Ba,2,0,-2.99
Rb,1,0,-2.98
K,1,0,-2.931
Ba,2,0,-2.912
La,3,0,-2.9
Fr,1,0,-2.9
Sr,2,0,-2.899
Sr,2,0,-2.88
Ca,2,0,-2.868
Eu,2,0,-2.812
Ra,2,0,-2.8
Ho,3,2,-2.8
Bk,3,2,-2.8
Yb,2,0,-2.76
Na,1,0,-2.71
Nd,3,2,-2.7
Sm,2,0,-2.68
Be,2,0,-2.63
Pm,3,2,-2.6
Dy,3,2,-2.6
No,2,0,-2.5
Hf,4,0,-2.5
Th,4,0,-2.48
Md,2,0,-2.4
Tm,2,0,-2.4
La,3,0,-2.379
Y,3,0,-2.372
Sc,3,0,-2.37
Pr,3,0,-2.353
Ce,3,0,-2.336
Er,3,0,-2.331
Ho,3,0,-2.33
Nd,3,0,-2.323
Tm,3,0,-2.319
Sm,3,0,-2.304
Fm,2,0,-2.3
Am,3,2,-2.3
Dy,3,0,-2.295
Lu,3,0,-2.28
Sc,3,0,-2.28
Tb,3,0,-2.28
Gd,3,0,-2.279
H,0,-1,-2.23
Es,2,0,-2.23
Pm,2,0,-2.2
Tm,3,2,-2.2
Dy,2,0,-2.2
Ac,3,0,-2.2
Yb,3,0,-2.19
Cf,2,0,-2.12
Nd,2,0,-2.1
Ho,2,0,-2.1
Sc,3,0,-2.077
Cm,3,0,-2.04
Pu,3,0,-2.031
Pr,2,0,-2
Er,2,0,-2
Eu,3,0,-1.991
Lr,3,0,-1.96
Cf,3,0,-1.94
Es,3,0,-1.91
Pa,4,3,-1.9
Am,2,0,-1.9
Th,4,0,-1.899
Fm,3,0,-1.89
Np,3,0,-1.856
Be,2,0,-1.847
Sr,2,0,-1.793
Th,4,0,-1.789
Hf,4,0,-1.724
Si,4,0,-1.697
Al,3,0,-1.662
U,3,0,-1.66
Ti,2,0,-1.63
Ti,3,0,-1.37
Mn,2,0,-1.185
Te,0,-2,-1.143
V,2,0,-1.13
Nb,3,0,-1.099
Po,0,-2,-1.021
Ti,4,0,-0.93
Mo,6,0,-0.913
Si,4,0,-0.909
Cr,2,0,-0.9
B,3,0,-0.89
Fe,2,1,-0.86
Bi,0,-3,-0.8
Zn,2,0,-0.7618
Ta,5,0,-0.75
Ni,2,0,-0.72
Nb,5,0,-0.7
Ta,3,0,-0.6
Ti,4,3,-0.56
Ga,3,0,-0.549
U,4,3,-0.52
Sb,0,-3,-0.51
Ni,4,2,-0.49
Bi,3,0,-0.452
Ta,5,0,-0.45
In,3,1,-0.444
Fe,2,0,-0.44
Cr,3,2,-0.407
Cd,2,0,-0.4
Ti,3,2,-0.37
Eu,3,2,-0.35
In,3,0,-0.34
Tl,1,0,-0.34
Ge,0,-4,-0.29
Co,2,0,-0.28
V,3,2,-0.26
Ni,2,0,-0.257
As,0,-3,-0.23
Mo,3,0,-0.2
Ge,4,0,-0.15
Mo,4,0,-0.15
Si,0,-4,-0.14
Sn,2,0,-0.14
In,1,0,-0.126
Pb,2,0,-0.126
W,4,0,-0.12
Ge,4,0,-0.118
Se,0,-2,-0.115
Nb,5,3,-0.1
W,6,0,-0.09
P,0,-3,-0.063
Fe,3,0,-0.04
Hg,2,0,0.0977
Ge,4,0,0.12
S,0,-2,0.144
Sb,3,0,0.15
Sn,4,2,0.151
Cu,2,1,0.159
U,6,5,0.163
Ru,3,2,0.249
Ge,2,0,0.26
Hg,1,0,0.27
U,5,4,0.273
Re,3,0,0.3
At,0,-1,0.3
Bi,3,0,0.308
Cu,2,0,0.337
V,4,3,0.337
Sb,4,3,0.342
At,1,-1,0.36
Ru,2,0,0.455
Cu,1,0,0.52
Te,4,0,0.53
I,0,-1,0.54
Fe,1,0,0.63
Ru,4,0,0.68
Sb,5,3,0.699
Se,4,0,0.74
Tl,3,0,0.741
No,3,2,0.75
Po,4,0,0.76
Fe,3,2,0.771
Hg,2,0,0.85
Ir,4,3,0.87
Po,4,2,0.9
Pd,2,0,0.915
Mn,4,3,0.95
V,5,4,1
Te,6,4,1.02
Sb,5,4,1.055
Br,0,-1,1.066
Ru,4,2,1.12
Se,6,4,1.15
Pt,2,0,1.188
Tl,3,1,1.25
Cr,6,3,1.33
Au,3,1,1.36
Co,4,3,1.42
Mn,3,2,1.5
Au,3,0,1.52
Ni,4,2,1.59
Ce,4,3,1.61
Pb,4,2,1.69
Mn,7,4,1.7
Au,1,0,1.83
Co,3,2,1.92
Cm,4,3,3
Tb,4,3,3.1
Pr,4,3,3.2
Kr,2,0,3.27
Pt,4,2,0.726
In,2,1,-0.4
In,3,2,-0.49
O,0,-2,1.23
