Element,Ox,Red,SRP (V)
N,0,-3,-3.334
Eu,2,0,-2.812
Pu,3,2,-2.8
Bk,3,2,-2.8
Yb,2,0,-2.76
Nd,3,2,-2.7
Sm,2,0,-2.68
Pm,3,2,-2.6
Dy,3,2,-2.6
No,2,0,-2.5
Tm,2,0,-2.4
Md,2,0,-2.4
Pr,3,0,-2.353
Ce,3,0,-2.336
Nd,3,0,-2.323
Tm,3,0,-2.319
Sm,3,0,-2.304
Sc,3,2,-2.3
Pm,3,0,-2.3
Am,3,2,-2.3
Fm,2,0,-2.3
Dy,3,0,-2.295
Tb,3,0,-2.28
Es,2,0,-2.23
Pm,2,0,-2.2
Dy,2,0,-2.2
Tm,3,2,-2.2
Yb,3,0,-2.19
Cf,2,0,-2.12
Nd,2,0,-2.1
Sc,3,0,-2.09
Ge,4,2,-2.07
Am,3,0,-2.048
Cm,3,0,-2.04
Sc,2,0,-2
Eu,3,0,-1.991
Bk,3,0,-1.98
Pu,3,0,-1.978
Cf,3,0,-1.94
Es,3,0,-1.91
Pa,4,3,-1.9
Am,2,0,-1.9
Fm,3,0,-1.89
N,3,-3,-1.887
Np,3,0,-1.768
Md,3,0,-1.65
U,3,0,-1.642
Ti,2,0,-1.63
Pu,2,0,-1.6
Bk,2,0,-1.6
Cf,3,2,-1.6
Sm,3,2,-1.55
W,4,0,-1.54
Pa,4,0,-1.49
Ti,3,0,-1.37
Pa,3,0,-1.34
Es,3,2,-1.3
No,3,0,-1.2
Mn,2,0,-1.182
V,2,0,-1.13
Fm,3,2,-1.1
Yb,3,2,-1.05
Si,4,0,-0.931
Cr,2,0,-0.89
Ta,5,0,-0.752
Cr,3,0,-0.74
Nb,3,0,-0.733
Nb,5,0,-0.69
Nb,5,3,-0.646
Ta,3,0,-0.6
U,4,3,-0.577
Te,0,-2,-0.46
Fe,2,0,-0.44
Cr,3,2,-0.42
P,3,0,-0.402
P,5,0,-0.377
Ti,3,2,-0.37
Eu,3,2,-0.35
Tl,1,0,-0.336
P,5,3,-0.3
Co,2,0,-0.282
V,3,2,-0.26
Ni,2,0,-0.236
Mo,4,0,-0.152
Si,0,-4,-0.147
Sn,2,0,-0.141
Pb,2,0,-0.126
Sn,4,0,-0.117
Se,0,-2,-0.114
Ge,4,0,-0.104
Md,3,2,-0.1
Sn,4,2,-0.094
W,6,0,-0.091
P,0,-3,-0.088
C,4,2,-0.07
Co,3,0,0.003
W,6,4,0.01
Ni,4,0,0.055
Mo,6,0,0.082
Ge,2,0,0.11
S,0,-2,0.144
Np,4,3,0.157
S,6,4,0.158
Cu,2,1,0.161
Mo,6,4,0.2
C,4,0,0.2073
Sb,3,0,0.231
As,3,0,0.234
Tc,4,0,0.272
Re,4,0,0.276
Bi,3,0,0.308
S,6,0,0.333
V,4,3,0.337
Cu,2,0,0.339
Re,7,0,0.376
Ir,4,3,0.4
Tc,7,0,0.427
S,4,0,0.458
Re,7,4,0.51
Cu,1,0,0.518
C,2,0,0.5184
Te,4,0,0.529
Sb,5,3,0.54
As,5,3,0.566
Ru,4,3,0.58
Ru,3,0,0.6
Os,4,0,0.65
Ir,4,0,0.73
Tc,7,4,0.738
Se,4,0,0.739
Tl,3,0,0.741
Rh,3,0,0.76
Fe,3,2,0.771
Ag,1,0,0.7993
Rh,4,0,0.83
Os,8,0,0.838
Ir,3,0,0.84
Te,6,4,0.84
Pd,2,0,0.915
Pt,4,0,0.92
Os,8,4,0.964
Mn,4,3,0.98
V,5,4,1.001
Pu,4,3,1.006
Pt,4,2,1.01
Se,6,4,1.094
Pt,2,0,1.18
Pb,4,0,1.23
Pd,4,2,1.27
Tl,3,1,1.28
Rh,4,3,1.3
Cr,6,3,1.36
No,3,2,1.4
Ru,8,4,1.4
Au,3,1,1.41
Co,4,3,1.42
N,3,0,1.447
Pb,4,2,1.458
Au,3,0,1.52
Mn,3,2,1.56
Bk,4,3,1.67
Au,1,0,1.69
Ce,4,3,1.71
Ni,3,2,1.753
Co,3,2,1.92
Ag,2,1,1.98
Bi,5,3,2
Ni,4,3,2.05
Mn,7,4,2.09
