UID,Chemical,Time,Temperature,P2O3ratio,Cat_Success,Na,Cu,O,Fe,Mn,Ni,TM_ionic_pot,Na_ionic_pot,O_ionic_pot,cat_pot,TM_ionic_radii,radial_pot,s_valence,p_valence,d_valence,f_valence,final_charge,mean_electronegativity,std_electronegativity,max_electronegativity,min_electronegativity,range_electronegativity,mean_atomic_mass,std_atomic_mass,mean_atomic_radius,std_atomic_radius,mean_atomic_number,mean_oxidation_state,std_oxidation_state,max_oxidation_state,min_oxidation_state,range_oxidation_state,num_unique_ox_states,ionic_size_mismatch,mean_ionic_radius,mean_electronegativity_difference,ionic_character_estimate,electron_density,total_d_electrons,total_f_electrons,num_elements,shannon_entropy,configurational_entropy,total_entropy,atomic_packing_parameter,mean_coordination_number,atomic_radii_vmr
U00001,NaCuO2,12,950,-1.0,Unsuccessful,1.0,1.0,2.0,0.0,0.0,0.0,2.2988505747126435,0.8620689655172414,3.1746031746031744,0.6242568370986921,0.87,0.23625000000000002,4.0,8.0,9.0,0.0,-1.0,2.4274999999999998,1.0690036248769226,3.44,0.93,2.51,29.63364232,19.786195817215923,1.0875,0.5128047874191504,14.0,-0.25,1.7853571071357126,2,-2,4,3,0.1404359489810633,1.1375,1.0125,1.0125,0.4808723762715646,9.0,0.0,3,1.0397207705399178,0.0,1.0397207705399178,6.513726895273068,11.0,0.019722255766211814
U00002,NaFeO2,12,950,-1.0,Unsuccessful,1.0,0.0,2.0,1.0,0.0,0.0,3.821656050955414,0.8620689655172414,3.1746031746031744,1.0377772896990998,0.785,0.21316810344827591,4.0,8.0,5.0,0.0,0.0,2.41,1.0780306118102583,3.44,0.93,2.51,27.70839232,16.493446406311598,1.1,0.5196152422706632,13.25,0.0,2.1213203435596424,3,-2,5,3,0.17519023345086243,1.11625,1.0299999999999998,1.0299999999999998,0.4781944707212807,5.0,0.0,3,1.0397207705399178,0.0,1.0397207705399178,6.330711975341562,10.5,0.03069161789656768
U00003,NaMnO2,12,950,0.8,Successful,1.0,0.0,2.0,0.0,1.0,0.0,3.821656050955414,0.8620689655172414,3.1746031746031744,1.0377772896990998,0.785,0.21316810344827591,4.0,8.0,4.0,0.0,0.0,2.34,1.1216282806705613,3.44,0.93,2.51,27.48165357,16.10679009706529,1.1,0.5196152422706632,13.0,0.0,2.1213203435596424,3,-2,5,3,0.17519023345086243,1.11625,1.0999999999999999,1.0999999999999999,0.47304285991696243,4.0,0.0,3,1.0397207705399178,0.0,1.0397207705399178,6.330711975341562,10.5,0.03069161789656768
U00004,NaNiO2,12,950,-1.0,Unsuccessful,1.0,0.0,2.0,0.0,0.0,1.0,4.4306257287213375,0.8620689655172414,3.1746031746031744,1.2031440556441564,0.725,0.19687500000000002,4.0,8.0,7.0,0.0,0.0,2.4299999999999997,1.067778066828496,3.44,0.93,2.51,28.42049232,17.709522586612234,1.0875,0.5128047874191504,13.75,0.0,2.179449471770337,4,-2,6,4,0.2007091623384928,1.1012499999999998,1.01,1.01,0.4838058343670522,7.0,0.0,3,1.0397207705399178,0.6931471803599453,1.732867950899863,6.223208245532046,10.5,0.040284167846619465
U00005,NaCu0.5Fe0.5O2,12,950,-1.0,Unsuccessful,1.0,0.5,2.0,0.5,0.0,0.0,3.060253312834029,0.8620689655172414,3.1746031746031744,0.8310170633988958,0.8275,0.22470905172413796,4.0,8.0,7.0,0.0,-0.5,2.41875,1.073562265311146,3.44,0.93,2.51,28.67101732,18.239800068207106,1.09375,0.5162590798232995,13.625,-0.125,1.964529205687714,3,-2,5,4,0.15872823172560724,1.1268749999999998,1.02125,1.02125,0.4795783786300611,7.0,0.0,4,1.2130075655799042,0.0,1.2130075655799042,6.422219435307316,10.75,0.025194651546738066
U00006,NaCu0.5Mn0.5O2,12,950,1.0,Successful,1.0,0.5,2.0,0.0,0.5,0.0,4.134499914221993,0.8620689655172414,3.1746031746031744,1.1227305801551104,0.77,0.20909482758620693,4.0,8.0,6.0,0.0,0.0,2.38375,1.096505101447321,3.44,0.93,2.51,28.557647945,18.07260025478067,1.09375,0.5162590798232995,13.5,0.0,2.179449471770337,4,-2,6,4,0.18697655546592545,1.1124999999999998,1.05625,1.05625,0.4727280070823774,6.0,0.0,4,1.2130075655799042,0.0,1.2130075655799042,6.326414669290534,10.75,0.03496023229390229
U00007,NaCu0.5Ni0.5O2,12,950,-1.0,Unsuccessful,1.0,0.5,2.0,0.0,0.0,0.5,4.375231738969225,0.8620689655172414,3.1746031746031744,1.1881017222200914,0.745,0.20230603448275863,4.0,8.0,7.5,0.0,0.0,2.42875,1.0683917528229052,3.44,0.93,2.51,29.02706732,18.786386049799358,1.0875,0.5128047874191504,13.875,0.0,2.179449471770337,4,-2,6,4,0.20024881582902546,1.1062499999999997,1.01125,1.01125,0.47800212977216466,7.5,0.0,4,1.2130075655799042,0.0,1.2130075655799042,6.2937237797360535,10.75,0.04009958824092695
U00008,NaFe0.5Mn0.5O2,12,950,1.0,Successful,1.0,0.0,2.0,0.5,0.5,0.0,3.821656050955414,0.8620689655172414,3.1746031746031744,1.0377772896990998,0.785,0.21316810344827591,4.0,8.0,4.5,0.0,0.0,2.375,1.1006021079391042,3.44,0.93,2.51,27.595022944999997,16.30165891587677,1.1,0.5196152422706632,13.125,0.0,2.1213203435596424,3,-2,5,3,0.17519023345086243,1.11625,1.065,1.065,0.47562924756973785,4.5,0.0,4,1.2130075655799042,0.0,1.2130075655799042,6.330711975341562,10.5,0.03069161789656768
U00009,NaFe0.5Ni0.5O2,12,950,-1.0,Unsuccessful,1.0,0.0,2.0,0.5,0.0,0.5,4.312762973352034,0.8620689655172414,3.1746031746031744,1.171138221211975,0.77,0.20909482758620693,4.0,8.0,6.0,0.0,0.0,2.42,1.0729631866937466,3.44,0.93,2.51,28.064442319999998,17.115994096291953,1.09375,0.5162590798232995,13.5,0.0,2.179449471770337,4,-2,6,4,0.19361086233574845,1.1124999999999998,1.0199999999999998,1.0199999999999998,0.4810357478715793,6.0,0.0,4,1.2130075655799042,0.0,1.2130075655799042,6.356652498581335,10.75,0.03748516601439213
U00010,NaMn0.5Ni0.5O2,12,950,1.0,Successful,1.0,0.0,2.0,0.0,0.5,0.5,4.25673428666445,0.8620689655172414,3.1746031746031744,1.1559235347407775,0.7949999999999999,0.21588362068965516,4.0,8.0,5.5,0.0,0.0,2.385,1.095958484615179,3.44,0.93,2.51,27.951072945,16.933643827834285,1.09375,0.5162590798232995,13.375,0.0,2.179449471770337,4,-2,6,4,0.18805169659362778,1.11875,1.055,1.055,0.4785147255820308,5.5,0.0,4,1.2130075655799042,0.0,1.2130075655799042,6.426806880529873,10.75,0.03536344059174183
