UID,Chemical,Time,Temperature,P2O3ratio,Cat_Success,Na,Cu,O,Fe,Mn,Ni,Cu_avg_ox_state,Cu_avg_ionic_radius,Cu_ionic_potential,Cu_ox_state_range,Cu_avg_d_electrons,Fe_avg_ox_state,Fe_avg_ionic_radius,Fe_ionic_potential,Fe_ox_state_range,Fe_avg_d_electrons,Mn_avg_ox_state,Mn_avg_ionic_radius,Mn_ionic_potential,Mn_ox_state_range,Mn_avg_d_electrons,Ni_avg_ox_state,Ni_avg_ionic_radius,Ni_ionic_potential,Ni_ox_state_range,Ni_avg_d_electrons
U00001,NaCuO2,12,950,-1.0,Unsuccessful,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,,,,,,,,,,
U00002,NaFeO2,12,950,-1.0,Unsuccessful,1.0,0.0,2.0,1.0,0.0,0.0,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,,,,,
U00003,NaMnO2,12,950,0.8,Successful,1.0,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,3.0,0.785,3.821656050955414,0.0,4.0,,,,,
U00004,NaNiO2,12,950,-1.0,Unsuccessful,1.0,0.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,3.0,0.725,4.137931034482759,2.0,7.0
U00005,NaCu0.5Fe0.5O2,12,950,-1.0,Unsuccessful,1.0,0.5,2.0,0.5,0.0,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,,,,,
U00006,NaCu0.5Mn0.5O2,12,950,1.0,Successful,1.0,0.5,2.0,0.0,0.5,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,4.0,0.67,5.970149253731343,0.0,3.0,,,,,
U00007,NaCu0.5Ni0.5O2,12,950,-1.0,Unsuccessful,1.0,0.5,2.0,0.0,0.0,0.5,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00008,NaFe0.5Mn0.5O2,12,950,1.0,Successful,1.0,0.0,2.0,0.5,0.5,0.0,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,3.0,0.785,3.821656050955414,0.0,4.0,,,,,
U00009,NaFe0.5Ni0.5O2,12,950,-1.0,Unsuccessful,1.0,0.0,2.0,0.5,0.0,0.5,,,,,,2.0,0.92,2.1739130434782608,0.0,6.0,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00010,NaMn0.5Ni0.5O2,12,950,1.0,Successful,1.0,0.0,2.0,0.0,0.5,0.5,,,,,,,,,,,2.0,0.97,2.061855670103093,0.0,5.0,4.0,0.62,6.451612903225807,0.0,6.0
U00011,NaCu1/3Fe1/3Mn1/3O2,12,950,0.75,Successful,1.0,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,4.0,0.67,5.970149253731343,0.0,3.0,,,,,
U00012,NaCu1/3Fe1/3Ni1/3O2,12,950,-1.0,Unsuccessful,1.0,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00013,NaCu1/3Mn1/3Ni1/3O2,12,950,1.0,Successful,1.0,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,4.0,0.67,5.970149253731343,0.0,3.0,2.9969969969969967,0.7253153153153153,4.131991885066037,2.0,7.003003003003002
U00014,NaFe1/3Mn1/3Ni1/3O2,12,950,1.0,Successful,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,4.0,0.67,5.970149253731343,0.0,3.0,2.0,0.83,2.4096385542168677,0.0,8.0
U00015,NaCu0.25Fe0.25Mn0.25Ni0.25O2,12,950,0.82,Successful,1.0,0.25,2.0,0.25,0.25,0.25,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,4.0,0.67,5.970149253731343,0.0,3.0,3.0,0.725,4.137931034482759,2.0,7.0
U00016,Na0.75CuO2,12,950,-1.0,Unsuccessful,0.75,1.0,2.0,0.0,0.0,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,,,,,,,,,,
U00017,Na0.75FeO2,12,950,-1.0,Unsuccessful,0.75,0.0,2.0,1.0,0.0,0.0,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,,,,,
U00018,Na0.75MnO2,12,950,0.85,Successful,0.75,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,3.25,0.75625,4.297520661157025,1.0,3.75,,,,,
U00019,Na0.75NiO2,12,950,-1.0,Unsuccessful,0.75,0.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,3.25,0.69875,4.651162790697675,2.0,6.75
U00020,Na0.75Cu0.5Fe0.5O2,12,950,-1.0,Unsuccessful,0.75,0.5,2.0,0.5,0.0,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,,,,,
U00021,Na0.75Cu0.5Mn0.5O2,12,950,1.0,Successful,0.75,0.5,2.0,0.0,0.5,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,4.498,0.6583800000000001,6.831920775236186,3.0,2.502,,,,,
U00022,Na0.75Cu0.5Ni0.5O2,12,950,-1.0,Unsuccessful,0.75,0.5,2.0,0.0,0.0,0.5,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00023,Na0.75Fe0.5Mn0.5O2,12,950,1.0,Successful,0.75,0.0,2.0,0.5,0.5,0.0,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,3.5,0.7275,4.810996563573883,1.0,3.5,,,,,
U00024,Na0.75Fe0.5Ni0.5O2,12,950,-1.0,Unsuccessful,0.75,0.0,2.0,0.5,0.0,0.5,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,3.5,0.6725,5.204460966542751,2.0,6.5
U00025,Na0.75Mn0.5Ni0.5O2,12,950,1.0,Successful,0.75,0.0,2.0,0.0,0.5,0.5,,,,,,,,,,,4.0,0.67,5.970149253731343,0.0,3.0,2.5,0.7775,3.2154340836012865,2.0,7.5
U00026,Na0.75Cu0.3Fe0.3Mn0.3O2,12,950,0.95,Successful,0.75,0.3,2.0,0.3,0.3,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,5.83,0.6273000000000001,9.293798820341143,3.0,1.1700000000000002,,,,,
U00027,Na0.75Cu0.3Fe0.3Ni0.3O2,12,950,-1.0,Unsuccessful,0.75,0.3,2.0,0.3,0.0,0.3,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00028,Na0.75Cu0.3Mn0.3Ni0.3O2,12,950,1.0,Successful,0.75,0.3,2.0,0.0,0.3,0.3,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,4.83,0.6506333333333335,7.423536041805418,3.0,2.1700000000000004,4.0,0.62,6.451612903225807,0.0,6.0
U00029,Na0.75Fe0.3Mn0.3Ni0.3O2,12,950,1.0,Successful,0.75,0.0,2.0,0.3,0.3,0.3,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,4.0,0.67,5.970149253731343,0.0,3.0,3.833333333333333,0.6375,6.0130718954248366,2.0,6.166666666666666
U00030,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,12,950,1.0,Successful,0.75,0.25,2.0,0.25,0.25,0.25,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,4.0,0.67,5.970149253731343,0.0,3.0,4.0,0.62,6.451612903225807,0.0,6.0
U00031,Na0.5CuO2,12,950,-1.0,Unsuccessful,0.5,1.0,2.0,0.0,0.0,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,,,,,,,,,,
U00032,Na0.5FeO2,12,950,-1.0,Unsuccessful,0.5,0.0,2.0,1.0,0.0,0.0,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,,,,,
U00033,Na0.5MnO2,12,950,0.32,Successful,0.5,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,3.5,0.7275,4.810996563573883,1.0,3.5,,,,,
U00034,Na0.5NiO2,12,950,-1.0,Unsuccessful,0.5,0.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,3.5,0.6725,5.204460966542751,2.0,6.5
U00035,Na0.5Cu0.5Fe0.5O2,12,950,-1.0,Unsuccessful,0.5,0.5,2.0,0.5,0.0,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,,,,,
U00036,Na0.5Cu0.5Mn0.5O2,12,950,1.0,Successful,0.5,0.5,2.0,0.0,0.5,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,5.002000000000001,0.6466200000000001,7.735609786273236,3.0,1.9980000000000002,,,,,
U00037,Na0.5Cu0.5Ni0.5O2,12,950,-1.0,Unsuccessful,0.5,0.5,2.0,0.0,0.0,0.5,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00038,Na0.5Fe0.5Mn0.5O2,12,950,1.0,Successful,0.5,0.0,2.0,0.5,0.5,0.0,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,4.0,0.67,5.970149253731343,0.0,3.0,,,,,
U00039,Na0.5Fe0.5Ni0.5O2,12,950,-1.0,Unsuccessful,0.5,0.0,2.0,0.5,0.0,0.5,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
