UID,Chemical,Scientist,Exp No.,Plate No. Pos,Time,Temperature,Date made,Formulas,Final Comps Tom,Code Output
1,NaCuO2,FT,1,2.1,12,950,07/11/2024,"{'Na': 1, 'Cu': 1, 'O': 2.0}",Na:1:1;Cu:2:1;O:-2:2;FinalChargeBalance:-1,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
2,NaFeO2,FT,1,2.2,12,950,07/11/2024,"{'Na': 1, 'Fe': 1, 'O': 2.0}",Na:1:1;O:-2:2;Fe:3:1;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Fe:3:1.0;FinalChargeBalance:0.0
3,NaMnO2,FT,1,2.3,12,950,07/11/2024,"{'Na': 1, 'Mn': 1, 'O': 2.0}",Na:1:1;O:-2:2;Mn:3:1;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Mn:3:1.0;FinalChargeBalance:0.0
4,NaNiO2,FT,1,2.4,12,950,07/11/2024,"{'Na': 1, 'Ni': 1, 'O': 2.0}",Na:1:1;O:-2:2;Ni:2:0.5;Ni:4:0.5;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Ni:2:0.5;Ni:4:0.5;FinalChargeBalance:0.0
5,NaCu0.5Fe0.5O2,FT,1,2.5,12,950,07/11/2024,"{'Na': 1, 'Cu': 0.5, 'Fe': 0.5, 'O': 2.0}",Na:1:1;Cu:2:0.5;Fe:3:0.5;O:-2:2;FinalChargeBalance:-0.5,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
6,NaCu0.5Mn0.5O2,FT,1,2.6,12,950,07/11/2024,"{'Na': 1, 'Cu': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:1;Cu:2:0.5;O:-2:2;Mn:4:0.5;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Mn:4:0.167;Mn:7:0.333;FinalChargeBalance:-0.001
7,NaCu0.5Ni0.5O2,FT,1,2.7,12,950,07/11/2024,"{'Na': 1, 'Cu': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:1;Ni:4:0.5;O:-2:2;Cu:2:0.5;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
8,NaFe0.5Mn0.5O2,FT,1,2.8,12,950,07/11/2024,"{'Na': 1, 'Fe': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:1;Mn:3:0.5;O:-2:2;Fe:3:0.5;FinalChargeBalance:0,Na:1:1;Mn:3:0.5;O:-2:2.0;Fe:3:0.5;FinalChargeBalance:0.0
9,NaFe0.5Ni0.5O2,FT,1,2.9,12,950,07/11/2024,"{'Na': 1, 'Fe': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:1;Fe:2:0.5;O:-2:2;Ni:4:0.5;FinalChargeBalance:0,Na:1:1;Fe:2:0.5;O:-2:2.0;Ni:4:0.5;FinalChargeBalance:0.0
10,NaMn0.5Ni0.5O2,FT,1,2.1,12,950,07/11/2024,"{'Na': 1, 'Mn': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:1;Mn:3:0.5;O:-2:2;Ni:2:0.25;Ni:4:0.25;FinalChargeBalance:0,Na:1:1;Mn:3:0.5;O:-2:2.0;Ni:2:0.25;Ni:4:0.25;FinalChargeBalance:0.0
11,NaCu1/3Fe1/3Mn1/3O2,FT,1,1.1,12,950,07/11/2024,"{'Na': 1, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'O': 2.0}",Na:1:1;Cu:2:0.333;Fe:3:0.333;O:-2:2;Mn:4:0.332;Mn:7:0.001;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
12,NaCu1/3Fe1/3Ni1/3O2,FT,1,1.2,12,950,07/11/2024,"{'Na': 1, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:1;Cu:2:0.333;Fe:3:0.333;Ni:4:0.333;O:-2:2;FinalChargeBalance:-0.003,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
13,NaCu1/3Mn1/3Ni1/3O2,FT,1,1.3,12,950,07/11/2024,"{'Na': 1, 'Cu': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:1;Cu:2:0.333;Ni:4:0.333;O:-2:2;Mn:3:0.33;Mn:4:0.003;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
