seed,model,test_acc,test_f1,test_prec,test_rec,feature_set
42,etc,0.8640350877192983,0.8648191343119587,0.8675703525715077,0.8640350877192983,magpie
42,rfc,0.8421052631578947,0.8431708400047867,0.8474907123239386,0.8421052631578947,magpie
42,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
42,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
123,etc,0.8640350877192983,0.864585011277363,0.8684252636323737,0.8640350877192983,magpie
123,rfc,0.8421052631578947,0.844210877699366,0.8495219539554872,0.8421052631578947,magpie
123,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
123,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
456,etc,0.8508771929824561,0.8519893257560852,0.8549924184474268,0.8508771929824561,magpie
456,rfc,0.8552631578947368,0.8563076216783522,0.8611932336822193,0.8552631578947368,magpie
456,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
456,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
789,etc,0.8640350877192983,0.8653557763854692,0.8690404292601436,0.8640350877192983,magpie
789,rfc,0.8508771929824561,0.8520108573346507,0.8610774931982362,0.8508771929824561,magpie
789,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
789,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
1024,etc,0.8596491228070176,0.8604150475266611,0.8624409809848164,0.8596491228070176,magpie
1024,rfc,0.8377192982456141,0.8392037786774629,0.8448540056434795,0.8377192982456141,magpie
1024,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
1024,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
2024,etc,0.8508771929824561,0.8533716254788154,0.8596704830257462,0.8508771929824561,magpie
2024,rfc,0.8596491228070176,0.861075854910496,0.8665560286207691,0.8596491228070176,magpie
2024,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
2024,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
314,etc,0.8552631578947368,0.8562606052508007,0.861120936901797,0.8552631578947368,magpie
314,rfc,0.8508771929824561,0.8526794819713317,0.858458242823568,0.8508771929824561,magpie
314,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
314,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
99,etc,0.8508771929824561,0.851139546727782,0.8541176235266734,0.8508771929824561,magpie
99,rfc,0.8464912280701754,0.8483236428786503,0.8549284341389605,0.8464912280701754,magpie
99,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
99,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
7,etc,0.868421052631579,0.8690120583459011,0.8724162459902292,0.868421052631579,magpie
7,rfc,0.8464912280701754,0.8491498211964855,0.8563788636544054,0.8464912280701754,magpie
7,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
7,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
2000,etc,0.8508771929824561,0.8517598876729126,0.8563082943887895,0.8508771929824561,magpie
2000,rfc,0.8421052631578947,0.8440146915074569,0.8545544778251546,0.8421052631578947,magpie
2000,lr,0.6622807017543859,0.6561844966456583,0.6590566698037267,0.6622807017543859,magpie
2000,lsvc,0.6754385964912281,0.6700017498741426,0.6746971977093278,0.6754385964912281,magpie
